wavelength_air_A,model_flux
8.678391999999750624e+03,9.984515581386813610e-01
8.678393999999751031e+03,9.984344964796644240e-01
8.678395999999749620e+03,9.984171084628848947e-01
8.678397999999750027e+03,9.983994018656631164e-01
8.678399999999748616e+03,9.983813855589233066e-01
8.678401999999749023e+03,9.983630695262626364e-01
8.678403999999747612e+03,9.983444648864235882e-01
8.678405999999748019e+03,9.983255839008857713e-01
8.678407999999746608e+03,9.983064399610348527e-01
8.678409999999747015e+03,9.982870475594642912e-01
8.678411999999745603e+03,9.982674222529078767e-01
8.678413999999746011e+03,9.982475806267108176e-01
8.678415999999744599e+03,9.982275402695388600e-01
8.678417999999745007e+03,9.982073197528081865e-01
