wavelength_air_A,flux_normalized
1.502641803402460755e+04,5.366521949816149828e-01
1.502646990769929471e+04,5.811985274050105454e-01
1.502652178040201943e+04,6.511295125579067422e-01
1.502657365213272897e+04,7.169564104405210525e-01
1.502662552289138875e+04,7.773587402831149129e-01
1.502667739267797151e+04,8.114737918620619217e-01
1.502672926149243540e+04,8.308255430696140920e-01
1.502678112933475495e+04,8.582759074731642901e-01
1.502683299620488287e+04,8.605423986632787514e-01
1.502688486210278825e+04,8.745227411036946563e-01
1.502693672702844015e+04,8.921271775549399763e-01
1.502698859098180037e+04,9.013468746728675596e-01
1.502704045396283436e+04,8.984069892604509278e-01
1.502709231597150392e+04,9.100093528513948371e-01
1.502714417700777449e+04,9.090048957260242757e-01
1.502719603707161696e+04,9.109060011769269938e-01
1.502724789616298767e+04,9.088046737373705053e-01
1.502729975428185571e+04,9.153057930357025862e-01
1.502735161142818652e+04,9.148867702330251150e-01
1.502740346760194370e+04,9.252771745884282861e-01
1.502745532280309271e+04,9.324132270352236684e-01
1.502750717703160080e+04,9.284267260159997370e-01
1.502755903028742250e+04,9.388247190050679203e-01
1.502761088257053598e+04,9.466597023508107611e-01
1.502766273388089758e+04,9.458201635173324462e-01
1.502771458421847638e+04,9.466784251303927977e-01
1.502776643358323054e+04,9.556707398436565803e-01
1.502781828197513278e+04,9.499971478179792816e-01
1.502787012939414490e+04,9.543128574258343821e-01
1.502792197584023597e+04,9.557335408288044620e-01
1.502797382131336053e+04,9.627261507413116259e-01
1.502802566581349129e+04,9.603865680290339935e-01
1.502807750934059004e+04,9.560017806193285006e-01
1.502812935189462041e+04,9.640333012091890641e-01
1.502818119347554966e+04,9.605628409450137628e-01
1.502823303408334687e+04,9.652491030181775677e-01
1.502828487371796837e+04,9.577303722338992298e-01
1.502833671237938506e+04,9.425707584582542209e-01
1.502838855006755693e+04,9.348640673283187263e-01
1.502844038678245124e+04,8.978670742516908776e-01
1.502849222252403706e+04,8.393313254924898992e-01
1.502854405729227074e+04,7.707944032788601740e-01
1.502859589108711953e+04,7.387430724581761643e-01
1.502864772390855796e+04,7.868754903057462169e-01
1.502869955575653512e+04,8.531378582681266032e-01
1.502875138663102734e+04,9.176436248471475654e-01
1.502880321653199462e+04,9.531808971548136888e-01
1.502885504545940239e+04,9.536101911151556587e-01
1.502890687341321427e+04,9.640653689470828347e-01
1.502895870039339934e+04,9.711690139352009421e-01
1.502901052639991758e+04,9.669790361737462536e-01
1.502906235143273807e+04,9.640502642562259750e-01
1.502911417549182443e+04,9.641823788683999696e-01
1.502916599857713481e+04,9.698811434755312266e-01
1.502921782068864377e+04,9.699948945254637245e-01
1.502926964182631127e+04,9.746373088695218234e-01
1.502932146199010458e+04,9.773306425956213017e-01
1.502937328117997822e+04,9.815285754446997357e-01
1.502942509939591764e+04,9.772081398365782823e-01
1.502947691663786827e+04,9.777512025200463253e-01
1.502952873290580465e+04,9.838856339896118186e-01
1.502958054819968675e+04,9.776800105835279364e-01
1.502963236251948547e+04,9.779233824248360074e-01
1.502968417586515898e+04,9.741413131041605222e-01
1.502973598823667089e+04,9.732929386475346334e-01
1.502978779963399575e+04,9.580741874570619654e-01
1.502983961005709352e+04,9.423348735616117189e-01
1.502989141950592602e+04,9.305981214576417582e-01
1.502994322798045869e+04,9.110934004250158535e-01
1.502999503548065331e+04,8.982352396563130226e-01
1.503004684200648808e+04,8.680129520450886593e-01
1.503009864755791568e+04,8.203115032956279640e-01
1.503015045213490339e+04,7.648818200317311078e-01
1.503020225573741845e+04,6.934414449872066122e-01
1.503025405836541904e+04,6.351976279631648126e-01
1.503030586001887968e+04,6.201506442333203362e-01
1.503035766069775855e+04,6.604964133800208526e-01
1.503040946040202289e+04,7.195094684123576334e-01
1.503046125913163633e+04,7.645472871258367498e-01
1.503051305688656066e+04,7.847162785320150880e-01
1.503056485366676861e+04,7.867599410790331316e-01
1.503061664947222198e+04,8.105084916461122724e-01
1.503066844430287892e+04,8.452854416815982486e-01
1.503072023815871216e+04,8.786669892989689146e-01
1.503077203103968714e+04,9.072455283293283657e-01
1.503082382294575837e+04,9.307777672489935261e-01
1.503087561387689857e+04,9.518428062247102917e-01
1.503092740383307500e+04,9.579612175989880019e-01
1.503097919281424765e+04,9.671483404191287825e-01
1.503103098082038014e+04,9.744881729351766442e-01
1.503108276785144153e+04,9.832988564123122943e-01
1.503113455390739728e+04,9.746452504003266792e-01
1.503118633898820553e+04,9.855294118883761723e-01
1.503123812309383720e+04,9.914357203546649844e-01
1.503128990622425590e+04,9.956194127921424997e-01
1.503134168837942343e+04,9.897281739744766549e-01
1.503139346955930887e+04,9.846174297452391366e-01
1.503144524976387584e+04,9.914980594160233140e-01
1.503149702899308249e+04,9.930889410824748076e-01
1.503154880724691066e+04,9.874392760461679908e-01
1.503160058452530393e+04,9.759825628711843448e-01
1.503165236082824049e+04,9.836721886229611300e-01
1.503170413615567850e+04,9.793677116818838568e-01
1.503175591050759067e+04,9.732028581421559021e-01
1.503180768388393517e+04,9.819005244667259324e-01
1.503185945628467744e+04,9.814828809886801952e-01
1.503191122770978654e+04,9.815956545685275980e-01
1.503196299815922248e+04,9.873602432821126929e-01
1.503201476763295068e+04,9.852389001307961802e-01
1.503206653613093476e+04,9.654929331228836453e-01
1.503211830365314927e+04,9.695596345043399067e-01
1.503217007019954690e+04,9.612317878727811848e-01
1.503222183577009855e+04,9.620095787613898164e-01
