wavenumber_cm-1,wavelength_vac_A,wavelength_air_A,intensity
4257.265,23489.2589,23482.8504,1.002516
4257.27,23489.2314,23482.8228,1.001934
4257.275,23489.2038,23482.7952,1.001317
4257.28,23489.1762,23482.7676,1.000669
4257.285,23489.1486,23482.7401,0.99999
4257.29,23489.121,23482.7125,0.999281
4257.295,23489.0934,23482.6849,0.998536
4257.3,23489.0658,23482.6573,0.997763
4257.305,23489.0383,23482.6298,0.996964
4257.31,23489.0107,23482.6022,0.996159
4257.315,23488.9831,23482.5746,0.995359
4257.32,23488.9555,23482.547,0.994582
4257.325,23488.9279,23482.5194,0.99385
4257.33,23488.9003,23482.4919,0.993176
4257.335,23488.8727,23482.4643,0.992561
4257.34,23488.8451,23482.4367,0.992005
4257.345,23488.8176,23482.4091,0.991491
4257.35,23488.79,23482.3815,0.990991
4257.355,23488.7624,23482.354,0.990474
4257.36,23488.7348,23482.3264,0.989909
4257.365,23488.7072,23482.2988,0.98927
4257.37,23488.6796,23482.2712,0.988553
4257.375,23488.652,23482.2436,0.987775
4257.38,23488.6245,23482.2161,0.986983
4257.385,23488.5969,23482.1885,0.986247
4257.39,23488.5693,23482.1609,0.985654
4257.395,23488.5417,23482.1333,0.985299
4257.4,23488.5141,23482.1058,0.985263
4257.405,23488.4865,23482.0782,0.985605
4257.41,23488.4589,23482.0506,0.986357
4257.415,23488.4314,23482.023,0.987509
4257.42,23488.4038,23481.9954,0.989022
4257.425,23488.3762,23481.9679,0.990821
4257.43,23488.3486,23481.9403,0.992821
4257.435,23488.321,23481.9127,0.99492
4257.44,23488.2934,23481.8851,0.997023
4257.445,23488.2658,23481.8576,0.999043
4257.45,23488.2383,23481.83,1.000905
4257.455,23488.2107,23481.8024,1.002548
4257.46,23488.1831,23481.7748,1.00392
4257.465,23488.1555,23481.7472,1.004988
4257.47,23488.1279,23481.7197,1.00573
4257.475,23488.1003,23481.6921,1.006139
4257.48,23488.0728,23481.6645,1.006217
4257.485,23488.0452,23481.6369,1.005991
4257.49,23488.0176,23481.6094,1.0055
4257.495,23487.99,23481.5818,1.004802
4257.5,23487.9624,23481.5542,1.003965
4257.505,23487.9348,23481.5266,1.003062
4257.51,23487.9073,23481.4991,1.002165
4257.515,23487.8797,23481.4715,1.001333
4257.52,23487.8521,23481.4439,1.000611
4257.525,23487.8245,23481.4163,1.000031
4257.53,23487.7969,23481.3888,0.999598
4257.535,23487.7693,23481.3612,0.999316
4257.54,23487.7417,23481.3336,0.999171
4257.545,23487.7142,23481.306,0.999155
4257.55,23487.6866,23481.2784,0.99925
4257.555,23487.659,23481.2509,0.999447
4257.56,23487.6314,23481.2233,0.999734
4257.565,23487.6038,23481.1957,1.000098
4257.57,23487.5762,23481.1681,1.000529
4257.575,23487.5487,23481.1406,1.001011
4257.58,23487.5211,23481.113,1.00153
4257.585,23487.4935,23481.0854,1.00207
4257.59,23487.4659,23481.0578,1.002615
4257.595,23487.4383,23481.0303,1.003153
4257.6,23487.4107,23481.0027,1.00367
4257.605,23487.3832,23480.9751,1.004157
4257.61,23487.3556,23480.9475,1.004594
4257.615,23487.328,23480.92,1.004971
4257.62,23487.3004,23480.8924,1.005265
4257.625,23487.2728,23480.8648,1.005448
4257.63,23487.2453,23480.8372,1.005497
4257.635,23487.2177,23480.8097,1.005382
4257.64,23487.1901,23480.7821,1.005077
4257.645,23487.1625,23480.7545,1.004565
4257.65,23487.1349,23480.7269,1.003844
4257.655,23487.1073,23480.6994,1.002918
4257.66,23487.0798,23480.6718,1.001812
4257.665,23487.0522,23480.6442,1.000563
4257.67,23487.0246,23480.6166,0.999225
4257.675,23486.997,23480.5891,0.997859
4257.68,23486.9694,23480.5615,0.996526
4257.685,23486.9418,23480.5339,0.995291
4257.69,23486.9143,23480.5063,0.994211
4257.695,23486.8867,23480.4788,0.993334
4257.7,23486.8591,23480.4512,0.992702
4257.705,23486.8315,23480.4236,0.992347
4257.71,23486.8039,23480.396,0.992287
4257.715,23486.7764,23480.3685,0.992533
4257.72,23486.7488,23480.3409,0.993085
4257.725,23486.7212,23480.3133,0.993923
4257.73,23486.6936,23480.2858,0.995012
4257.735,23486.666,23480.2582,0.996299
4257.74,23486.6385,23480.2306,0.997706
4257.745,23486.6109,23480.203,0.999144
4257.75,23486.5833,23480.1755,1.00051
4257.755,23486.5557,23480.1479,1.001701
4257.76,23486.5281,23480.1203,1.002623
4257.765,23486.5005,23480.0927,1.003202
4257.77,23486.473,23480.0652,1.003396
4257.775,23486.4454,23480.0376,1.003201
4257.78,23486.4178,23480.01,1.002648
4257.785,23486.3902,23479.9824,1.001812
4257.79,23486.3626,23479.9549,1.000785
4257.795,23486.3351,23479.9273,0.999675
4257.8,23486.3075,23479.8997,0.998594
4257.805,23486.2799,23479.8722,0.997634
4257.81,23486.2523,23479.8446,0.99687
4257.815,23486.2247,23479.817,0.996353
4257.82,23486.1972,23479.7894,0.9961
4257.825,23486.1696,23479.7619,0.996112
4257.83,23486.142,23479.7343,0.996364
4257.835,23486.1144,23479.7067,0.996816
4257.84,23486.0868,23479.6791,0.997423
4257.845,23486.0593,23479.6516,0.998125
4257.85,23486.0317,23479.624,0.998873
4257.855,23486.0041,23479.5964,0.999608
4257.86,23485.9765,23479.5689,1.00028
4257.865,23485.9489,23479.5413,1.000841
4257.87,23485.9214,23479.5137,1.001258
4257.875,23485.8938,23479.4861,1.001506
4257.88,23485.8662,23479.4586,1.001574
4257.885,23485.8386,23479.431,1.001466
4257.89,23485.811,23479.4034,1.001202
4257.895,23485.7835,23479.3759,1.000818
4257.9,23485.7559,23479.3483,1.000362
4257.905,23485.7283,23479.3207,0.999894
4257.91,23485.7007,23479.2931,0.99948
4257.915,23485.6732,23479.2656,0.999172
4257.92,23485.6456,23479.238,0.999018
