element,ion,wavelength_air_A,ew_mA,ew_err_mA,chi2,observed_depth,rew,n_contaminants,worst_contaminant_depth,drop_reason,detail
Ti,I,3842.864,144.99,49.84,0.1586,0.7951,-4.4233,24,0.842,SATURATED_REW,REW -4.423 > -4.9
Fe,I,3842.8963,145.0,50.11,0.1602,0.7951,-4.4233,22,0.809,SATURATED_REW,REW -4.423 > -4.9
Fe,I,3842.9887,145.05,49.73,0.1623,0.8513,-4.4232,20,0.809,SATURATED_REW,REW -4.423 > -4.9
Zr,II,3843.018,145.0,49.74,0.1624,0.8513,-4.4233,23,0.928,SYNTH_ROUTED,Zr: synthesis is the reporting channel (synthesis (problem-children registry))
Sc,II,3843.0343,144.99,49.64,0.1624,0.8513,-4.4233,11,0.928,SYNTH_ROUTED,Sc: synthesis is the reporting channel (HFS_sum (problem-children registry))
Sc,II,3843.0523,145.05,49.24,0.1624,0.8513,-4.4232,11,0.928,SYNTH_ROUTED,Sc: synthesis is the reporting channel (HFS_sum (problem-children registry))
Fe,I,3843.1149,226.74,112.15,0.1637,0.8023,-4.2292,21,0.809,SATURATED_REW,REW -4.229 > -4.9
Ti,I,3843.1571,235.04,117.39,0.166,0.6388,-4.2135,24,0.928,SATURATED_REW,REW -4.214 > -4.9
Sc,II,3843.1574,235.08,117.41,0.166,0.6388,-4.2135,12,0.928,SYNTH_ROUTED,Sc: synthesis is the reporting channel (HFS_sum (problem-children registry))
Fe,I,3843.2564,88.91,30.78,0.1709,0.8987,-4.6357,21,0.809,SATURATED_REW,REW -4.636 > -4.9
V,I,3843.4758,18.55,27.5,0.1864,0.5319,-5.3164,27,0.928,EW_ERR_EXCESS,err/EW 1.48 > 0.5
Co,I,3843.658,98.95,37.78,0.1651,0.7778,-4.5893,13,0.831,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Mg,I,3843.698,98.87,37.8,0.1647,0.7794,-4.5897,31,0.831,SYNTH_ROUTED,Mg: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,3843.7078,99.08,37.86,0.1648,0.7794,-4.5888,31,0.831,SATURATED_REW,REW -4.589 > -4.9
