wavelength_air_A,model_flux
8.211353999999744701e+03,9.627955567615565924e-01
8.211355999999743290e+03,9.633007277441473226e-01
8.211357999999743697e+03,9.638209000375931312e-01
8.211359999999742286e+03,9.643545138729148203e-01
8.211361999999742693e+03,9.648999854479335392e-01
8.211363999999741281e+03,9.654557116832817032e-01
8.211365999999741689e+03,9.660200750365981470e-01
8.211367999999740277e+03,9.665914485109984300e-01
8.211369999999740685e+03,9.671682007500038702e-01
8.211371999999739273e+03,9.677487012660899168e-01
8.211373999999739681e+03,9.683313258416125224e-01
8.211375999999738269e+03,9.689144621613201558e-01
8.211377999999738677e+03,9.694965154565958754e-01
8.211379999999737265e+03,9.700759138692047756e-01
8.211381999999737673e+03,9.706511132585194934e-01
8.211383999999736261e+03,9.712206013297004503e-01
8.211385999999736669e+03,9.717829011597894917e-01
8.211387999999735257e+03,9.723365741983159838e-01
8.211389999999735664e+03,9.728802228763072657e-01
8.211391999999734253e+03,9.734124929885836774e-01
8.211393999999734660e+03,9.739320762116242536e-01
8.211395999999733249e+03,9.744377131722377072e-01
8.211397999999733656e+03,9.749281971783841927e-01
8.211399999999732245e+03,9.754023781928784498e-01
8.211401999999732652e+03,9.758591660390628642e-01
8.211403999999731241e+03,9.762975320975768589e-01
8.211405999999731648e+03,9.767165093435288270e-01
8.211407999999730237e+03,9.771151916076979971e-01
8.211409999999730644e+03,9.774927328912998981e-01
8.211411999999729233e+03,9.778483471771454161e-01
8.211413999999729640e+03,9.781813084041051098e-01
8.211415999999728228e+03,9.784909502968059947e-01
8.211417999999728636e+03,9.787766661923387179e-01
8.211419999999727224e+03,9.790379095092507367e-01
8.211421999999727632e+03,9.792741954531541948e-01
8.211423999999726220e+03,9.794851035212539525e-01
8.211425999999726628e+03,9.796702796180566386e-01
8.211427999999725216e+03,9.798294362890155318e-01
8.211429999999725624e+03,9.799623509126835774e-01
8.211431999999724212e+03,9.800688625907555407e-01
8.211433999999724620e+03,9.801488692560413885e-01
8.211435999999723208e+03,9.802023257261246458e-01
8.211437999999723615e+03,9.802292427257889296e-01
8.211439999999722204e+03,9.802296862102913844e-01
8.211441999999722611e+03,9.802037766071465263e-01
8.211443999999721200e+03,9.801516883017890036e-01
8.211445999999721607e+03,9.800736501342968143e-01
8.211447999999720196e+03,9.799699473773447744e-01
8.211449999999720603e+03,9.798409241860355223e-01
8.211451999999719192e+03,9.796869848507083756e-01
8.211453999999719599e+03,9.795085924791596677e-01
8.211455999999718188e+03,9.793062657764554091e-01
8.211457999999718595e+03,9.790805754447134968e-01
8.211459999999717184e+03,9.788321417137859637e-01
8.211461999999717591e+03,9.785616331595323736e-01
8.211463999999716179e+03,9.782697662564193708e-01
8.211465999999716587e+03,9.779573049157817000e-01
8.211467999999715175e+03,9.776250597501525696e-01
8.211469999999715583e+03,9.772738874462075787e-01
8.211471999999714171e+03,9.769046908021415954e-01
8.211473999999714579e+03,9.765184196215611623e-01
8.211475999999713167e+03,9.761160714488424928e-01
8.211477999999713575e+03,9.756986908222375909e-01
8.211479999999712163e+03,9.752673663182919173e-01
8.211481999999712571e+03,9.748232263668518138e-01
8.211483999999711159e+03,9.743674353225909579e-01
8.211485999999711566e+03,9.739011907252298483e-01
8.211487999999710155e+03,9.734257215067544378e-01
8.211489999999710562e+03,9.729422864648653579e-01
8.211491999999709151e+03,9.724521725198576050e-01
